Event Name,Condition To show,Description,Condition Option A,Option A,Condition Option B,Option B,Option C
The Altar of Greed,,"A jagged stone altar, stained with the ink of a thousand discarded runes. It whispers of wealth in exchange for your tools. The air around it smells of copper and regret.",player.DiceCount > 1,[Cost: 1 Die] Sacrifice a die to gain +150 Gold,TRUE,Leave,
The Cursed Anvil,,"A heavy anvil made of dark, pulsating obsidian. Hammers made of shadow beat against it in a rhythmic trance. It can forge greatness, but it always demands a dark price in return.",player.DiceCount > 0,[Penalty: Add 1 Curse] Choose a die and add a Legendary Face of that type.,TRUE,Leave,
The Fossilized D6,,"In a corner of the vault, you find a massive stone die half-buried in crystalline growth. It vibrates with an ancient, heavy frequency. It isn't dead—it's waiting for a new spark.",player.GetDiceOfType(DieType.Physical).Count > 0,[Cost: Add 1 Curse] Gain +2 Strength permanently (for the entire run).,player.CurrentHP > 10,[Cost: 10 HP] Gain 150 Coins.,Leave
The Resonating Fountain 1,,"A pool of liquid mercury-mana sits perfectly still. As you approach, your Resonance Meter begins to hum in sympathy. The water reflects not your face, but the potential of your spells.",player.MaxHP > 10,[Cost: 10 Max HP] Increase Max Power by 1 (Open The Resonating Fountain 2),TRUE,Leave,
The Resonating Fountain 2,Clear Event: The Resonating Foutain 1,"A pool of liquid mercury-mana sits perfectly still. As you approach, your Resonance Meter begins to hum in sympathy. The water reflects not your face, but the potential of your spells.",player.MaxHP > 20,[Cost: 20 Max HP] Increase Max Power by 1 (Open The Resonating Fountain 3),TRUE,Leave,
The Resonating Fountain 3,Clear Event: The Resonating Foutain 2,"A pool of liquid mercury-mana sits perfectly still. As you approach, your Resonance Meter begins to hum in sympathy. The water reflects not your face, but the potential of your spells.",player.MaxHP > 40,[Cost: 40 Max HP] Increase Max Power by 1,TRUE,Leave,
The Splitting Prism,,"You find a floating, multi-faceted crystal that hums with a parasitic frequency. It doesn't create—it copies. By feeding it enough gold, the prism refracts the 'soul' of one of your dice, splitting it into two identical twins.",player.Gold >= 100,[Cost: 100 Coins] Duplicate one of your existing dice.,TRUE,Skip,
The Starlight Basin,,"Tucked away in a silent alcove is a pool of liquid mana that hasn't yet been curdled by Merlin’s corruption. It smells of ozone and fresh rain. As you submerge your wounds, the jagged tears in your physical form knit back together.",TRUE,Heal to Full HP,TRUE,Add 10 Max Health,
The Catalyst of Sacrifice,,"An altar made of blackened iron sits waiting for a tribute. It is a hungry machine designed to convert physical conduits into raw internal capacity. By crushing one of your precious dice in its maw, you absorb its crystalline essence.",player.DiceCount > 1,[Cost: 1 Die] Permanently add +5 to your Resonance Peak (X).,TRUE,Skip,
The Scoured Obelisk,,"A pillar of white marble stands incongruously amidst the gloom, vibrating with a high-pitched, cleansing frequency. It is a 'Reset' point a remnant of Merlin’s early attempts to keep his reality perfectly sterile. As you place your die against the cold stone, the jagged, purple corruption of the Curse begins to flake off like dry mud, revealing the smooth, stable mana-surface beneath. The static in your head clears, if only for a moment.",player.HasCurse(),[Condition: Target 1 Curse Face] Clear a die from 1 curse face and add a base face instead,TRUE,Skip,
The Arcanist’s Polishing Wheel,,"You stumble upon a mechanical bench laden with fine diamond-dust and specialized grinding tools. It was once used to shape the very gems that power Merlin’s throne, but now it sits abandoned, waiting for someone with enough gold to bribe its ancient gears back to life. You drop your coins into the brass slot, and the machine begins to hum. The facets of your gem are ground to a razor-edge, allowing the mana to flow through it with lethal efficiency. It shines brighter now, hungry for the next roll.",player.Gold >= 100 && player.TotalGems > 0,[Cost: 100 Coins] Upgrade one of your current Gems,TRUE,Skip,
Merlin’s Monument,,A statue of the Archmage Merlin standing tall. It is said that anyone who meditate here gains a blessing from Merlin himself.,TRUE,"[Risk] Try to break the statue - 50% find an Artifact, 50% gain a Face Curse to a random die",TRUE,Spit on the Statue and move on,
